DAY,HDFC,RELIANCE,DABUR,DLF,
0,1339.95,432.13,262.6,154.55,
1,1368.05,450.4,264.05,151.3,
2,1367.7,443.93,264.14,154.1,
3,1394.8,442.48,266.7,154.15,
4,1368.35,434.83,274.35,151,
5,1312.4,429.58,265.8,144.9,
6,1322.75,427.98,267.5,145.05,
7,1332.85,431.9,271.2,149.44,
8,1328.05,425.05,272.45,157.4,
9,1305.7,421.05,271.25,164.3,
10,1339.45,428.43,283.3,165,
11,1322.05,434.33,284.1,164.5,
12,1327.7,428.08,275.39,163.95,
13,1338.45,427.05,266,159.9,
14,1345.7,420.98,269.1,159.35,
15,1358.85,423.98,266.5,160.1,
16,1354.55,422.45,268.2,165.05,
17,1283.7,414.65,262.75,159.3,
18,1262.7,405.85,264.8,154.94,
19,1306.2,405.38,266.05,159.5,
20,1315.7,413,265.55,158.25,
21,1337.05,418.03,266.55,159.69,
22,1330.6,412.33,272.95,167.45,
23,1328.7,416.43,274.3,161.94,
24,1299.7,432.95,284.35,161.85,
25,1303.05,447.55,279.89,159.3,
26,1290.34,452.18,280.3,158.4,
27,1305.25,461.25,283.6,156.8,
28,1290.45,461.83,275.35,153.35,
29,1306.8,464.18,276.14,150.1,
30,1306.7,463.43,272.95,147.15,
31,1268.65,442.83,268.89,146.25,
32,1258.15,438.23,268.55,138.9,
33,1277.2,439.88,265.25,136.8,
34,1276.05,438.53,271.05,136.19,
35,1245.15,439.45,270.1,131.05,
36,1211.75,437.65,263.45,123.95,
37,1228.25,432.6,259.1,128.1,
38,1201.15,425,255.3,133.75,
39,1170,431.18,251.9,136.44,
40,1202.2,445.48,261.45,138.3,
41,1180.34,446.08,264.6,139.3,
42,1163.59,440.13,263.1,131.6,
43,1154.25,435.38,257.2,129,
44,1185.34,444.85,260.85,132.94,
45,1226.09,447.98,257.2,130.25,
46,1191.34,434.35,260.64,125.5,
47,1219.4,442.55,261.39,125,
48,1209.7,439.1,263.85,126.95,
49,1234.3,436.98,264.85,125,
50,1264.3,445.78,265.7,122.8,
51,1240.55,447.78,264.7,124.2,
52,1270.05,454.43,264.1,123.25,
53,1255.95,448.38,259.05,124.15,
54,1288.05,451.93,265.25,123.2,
55,1252.65,447.25,268.39,121.3,
56,1240.45,442.3,270.64,116.9,
57,1239.9,442.65,269.35,119.4,
58,1229.25,437.9,271.7,119.4,
59,1236.05,438.5,269.85,117.75,
60,1247.75,451.13,272.7,118.15,
61,1203.09,449.33,266.75,113.1,
62,1202.84,448.18,261.5,110.55,
63,1216,456.35,255.75,111.15,
64,1201.34,453.88,257.8,107.25,
65,1176.75,442.73,251.5,109.9,
66,1188.8,441.85,253.75,110.8,
67,1190.55,452.9,253.4,112,
68,1164.3,438.58,251.4,107.9,
69,1190.4,444.93,252,107.55,
70,1214.55,450.88,256.3,108.15,
71,1199.05,451.98,256.55,107.9,
72,1200.9,465.6,265.45,108.55,
73,1213.3,489.48,267.7,106.9,
74,1236.84,498.33,269.3,106.5,
75,1271.55,495.85,270.2,114.6,
76,1285.2,497.5,269.75,117.5,
